date,Value_ema_20,Value_ema_60,Quality_ema_20,Quality_ema_60,Carry_ema_20,Carry_ema_60,Profitability_ema_20,Profitability_ema_60,Size_ema_20,Size_ema_60,Momentum_ema_20,Momentum_ema_60,UX2-UX5_ema_20,UX2-UX5_ema_60,UX5-UX8_ema_20,UX5-UX8_ema_60,CSI BARC-BASPCAAA_ema_20,CSI BARC-BASPCAAA_ema_60,SGEPVBE-SGEPLBE_ema_20,SGEPVBE-SGEPLBE_ema_60,UVOLNYE-DVOLNYE_ema_20,UVOLNYE-DVOLNYE_ema_60,MRI CITI Index_ema_20,MRI CITI Index_ema_60,MRIST Index_ema_20,MRIST Index_ema_60,CESIG10 Index_ema_20,CESIG10 Index_ema_60,CESIUSD Index_ema_20,CESIUSD Index_ema_60,UX2-UX5_signal_20_60,UX2-UX5_signal_20_80,UX2-UX5_signal_20_100,UX2-UX5_signal_30_60,UX2-UX5_signal_30_80,UX2-UX5_signal_30_100,UX2-UX5_signal_40_60,UX2-UX5_signal_40_80,UX2-UX5_signal_40_100,UX5-UX8_signal_20_60,UX5-UX8_signal_20_80,UX5-UX8_signal_20_100,UX5-UX8_signal_30_60,UX5-UX8_signal_30_80,UX5-UX8_signal_30_100,UX5-UX8_signal_40_60,UX5-UX8_signal_40_80,UX5-UX8_signal_40_100,CSI BARC-BASPCAAA_signal_20_60,CSI BARC-BASPCAAA_signal_20_80,CSI BARC-BASPCAAA_signal_20_100,CSI BARC-BASPCAAA_signal_30_60,CSI BARC-BASPCAAA_signal_30_80,CSI BARC-BASPCAAA_signal_30_100,CSI BARC-BASPCAAA_signal_40_60,CSI BARC-BASPCAAA_signal_40_80,CSI BARC-BASPCAAA_signal_40_100,MRI CITI Index_signal_20_60,MRI CITI Index_signal_20_80,MRI CITI Index_signal_20_100,MRI CITI Index_signal_30_60,MRI CITI Index_signal_30_80,MRI CITI Index_signal_30_100,MRI CITI Index_signal_40_60,MRI CITI Index_signal_40_80,MRI CITI Index_signal_40_100,MRIST Index_signal_20_60,MRIST Index_signal_20_80,MRIST Index_signal_20_100,MRIST Index_signal_30_60,MRIST Index_signal_30_80,MRIST Index_signal_30_100,MRIST Index_signal_40_60,MRIST Index_signal_40_80,MRIST Index_signal_40_100,CESIG10 Index_signal_20_60,CESIG10 Index_signal_20_80,CESIG10 Index_signal_20_100,CESIG10 Index_signal_30_60,CESIG10 Index_signal_30_80,CESIG10 Index_signal_30_100,CESIG10 Index_signal_40_60,CESIG10 Index_signal_40_80,CESIG10 Index_signal_40_100,CESIUSD Index_signal_20_60,CESIUSD Index_signal_20_80,CESIUSD Index_signal_20_100,CESIUSD Index_signal_30_60,CESIUSD Index_signal_30_80,CESIUSD Index_signal_30_100,CESIUSD Index_signal_40_60,CESIUSD Index_signal_40_80,CESIUSD Index_signal_40_100,Equi_weighted
2008-08-11,0.0018635394316706437,0.00043146409375444523,-0.0016493709373417923,-0.00028823699886012806,0.0021038876803205287,0.00035002787005184366,-0.0013094977849779181,-0.0002822962344296263,0.0015821476472476508,0.0005272152220617307,-0.0026104255829978063,-0.0006398001760134415,0.8756366539166069,0.6810287197960531,0.46015650504439637,0.6070556347998411,-0.3500647493764155,-0.1862637870869802,0.5973977402900486,0.6463058246460744,0.8253695641696039,-1.9200961207141338,0.5772622364032327,0.697911293585972,-0.3415801811217047,0.46628923242155706,-0.9133404499482491,-0.8789028176595101,0.6847923843957813,0.32349103904772736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0
2008-08-12,0.0017553134065734842,0.0004192566743539794,-0.0014407206221705234,-0.00024137245944433816,0.0020164105538349603,0.00035009982472779917,-0.0012567453088806278,-0.0002818321015730005,0.001526161493228827,0.0005261353778085534,-0.0026113950703789,-0.0006729670952569223,0.8384809130654634,0.6960300207260367,0.43938805600221026,0.6053928445333977,-0.34674662039309284,-0.18634208707089947,0.6276424023696044,0.6442592200872936,0.9357701605546787,-1.937349436598743,0.5407765641757507,0.7075026942610658,-0.42377030003157734,0.5422737824825086,-0.9327523809672594,-0.8874537190251345,0.7088304803428928,0.35322705017462985,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,994.0384893980539
2008-08-13,0.0011461391262078309,0.00023846619310218732,-0.0005266680189156359,4.332260559555448e-05,0.0010538456483348722,5.701670171251179e-05,-0.0007704832212857532,-0.00013599329249631503,0.0008601012326619829,0.00032078239287634553,-0.0016312158649674057,-0.0003785478263714114,0.801848492507998,0.7003161067060322,0.4380034927327313,0.6006602876212123,-0.3371866963292539,-0.18784544676215104,0.6481269800940987,0.6406474332674762,0.4431070660234059,-1.833436843448206,0.5209764127840076,0.7174871851277619,-0.41715329893290104,0.6043307700032859,-0.9605345941687791,-0.901575662189575,0.7212212514496513,0.38158109924595524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,960.4378749657945
2008-08-14,0.0009601096664055319,0.00019158425538645568,-0.00043043785787203316,6.589948220159742e-05,0.0008137777086905438,-6.3921290586385895e-06,-0.0006096477655653351,-9.295630606927852e-05,0.0005912102669952039,0.00024014071831707774,-0.0011920397827431023,-0.00025303359960641796,0.7605061893074299,0.697893536369513,0.4366189294632523,0.5928579640632848,-0.3245870876723018,-0.1846155724254777,0.6610106228548125,0.6370423639680922,0.26190704719344465,-1.757738217219353,0.5038459447259824,0.7277075301094197,-0.3865061359495584,0.6797864252842297,-0.9856454407163063,-0.9137542186800098,0.7372053461773699,0.4114124181008286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,963.6779013643064
2008-08-15,0.001051218218677436,0.00023476252966079546,-0.00039365010503609424,6.98897774790215e-05,0.0008483121662289133,1.878885408333566e-05,-0.0007472978815533738,-0.00014745120239029357,0.0007584637122879385,0.00030174302589270144,-0.0014017808426462191,-0.00033859738929317495,0.7141923433169203,0.6943528566469082,0.4459647315322362,0.5813463391417526,-0.3170922928358455,-0.18831133166647201,0.6682436904625959,0.6345344896728686,0.22670420186219062,-1.5661439852292292,0.49138742250196404,0.7322673763320053,-0.3572520258290944,0.6924799000043884,-1.0098658317125029,-0.9237302702732384,0.7565349491039133,0.44167262173157074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,972.9840666125514
2008-08-18,0.0008551884858004036,0.00018302688018533201,-0.0003250228289464506,8.503987146700266e-05,0.0005657360554259238,-6.157779431533293e-05,-0.0005569463047942161,-9.399812145656024e-05,0.0006046572706733923,0.00025808622346105325,-0.0010090063881742165,-0.00022539229535825295,0.6762516220252597,0.6918371105282153,0.4494261397059339,0.5691951795023575,-0.3226263750912477,-0.1924259958214341,0.6727144387800758,0.6319124175302733,-0.03231300890867052,-1.5718596646228151,0.49628184194711406,0.7406008883939722,-0.22351895099269056,0.7420197110650081,-1.0412098671193455,-0.9339654400896676,0.7766079982968622,0.47174220990637133,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,969.4853439969831
2008-08-19,0.0002680386217309578,-1.4870477444542124e-06,0.00041066728324045136,0.0003234355305226995,-0.00014001026967370165,-0.00028637133851979114,-0.0002731577686283677,-7.1177457901337625e-06,0.0002685059138785849,0.00015181195531619514,-0.0003222541354383549,-9.535112659638574e-06,0.6563654508654927,0.6919302863103892,0.450810702975413,0.5610091351137124,-0.3268726520419332,-0.19246123081419764,0.6761130691726448,0.627192239838906,-0.4529139207162947,-1.7321836684850798,0.5125224155605661,0.7489344004559392,-0.06889008321309857,0.7912069256056246,-1.0670330781079373,-0.9405729547812867,0.7968049552008788,0.5003345282976238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,939.9445355310631
2008-08-20,0.00010434894674633409,-5.15581782481312e-05,0.0004527686015061602,0.00033892316582324997,-0.0004150924053197341,-0.0003756260325878061,-8.814861182286186e-05,5.0117972764465375e-05,-1.2626902986584929e-05,6.004591567040306e-05,0.0001485654008104004,0.00014219274904381425,0.6364792797057258,0.6942596808647346,0.46188720913124565,0.559602158734414,-0.32976151259035014,-0.19185832093801858,0.6720549288355403,0.6218725234488368,-0.6055614836757784,-1.7354341196669258,0.5369945127863165,0.7564817321347017,0.07250478236914046,0.8373970697262026,-1.0921439246554645,-0.9464678943591034,0.8177453583713006,0.5276878462252552,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,941.2667606404628
2008-08-21,2.316275520911146e-05,-7.602179001065947e-05,0.00033667652806242777,0.00030212323193667815,-0.0006478816536512536,-0.00045388022157726916,-0.0001103946617203775,4.039817972216005e-05,0.00010532104005007378,9.815068303838386e-05,0.00047982212551965844,0.0002527178681431387,0.6247045730979692,0.7047885442503752,0.4646563356702037,0.5574277406936802,-0.3506680455552017,-0.19338125562524996,0.6734452023115839,0.6175755495447885,-0.15967167852824926,-1.7833916744559086,0.5467833516766165,0.7665448410397181,0.19335211822391152,0.9047430050470457,-1.0823489135908264,-0.9493829743701118,0.839677023230263,0.5548028948329597,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,938.5556242857111
2008-08-22,0.0002925452859050992,1.542546264177066e-05,-5.3099577107580285e-05,0.00017277375181528988,-0.00012621361422456001,-0.00028322423230274236,-0.00018552503494177045,1.2841507957621877e-05,0.00023649723313641182,0.00014199558668407487,1.2247120068159564e-05,0.00010064460394874032,0.6001085192950996,0.7135470677747136,0.47019458874812003,0.5593463448472689,-0.34465828746652605,-0.19919894443045794,0.6800386446967774,0.6138232545892341,0.0065281150059124165,-1.7146226308631578,0.5603542419563506,0.7754286793699281,0.29400018756693436,0.9585139743477191,-1.0727319936364543,-0.9517798179347187,0.8529351483144947,0.5812507893448682,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,959.0133211305371
