date,UX2-UX5_ema_20,UX2-UX5_ema_60,UX5-UX8_ema_20,UX5-UX8_ema_60,CSI BARC-BASPCAAA_ema_20,CSI BARC-BASPCAAA_ema_60,UX2-UX5_signal_20_60,UX2-UX5_signal_20_80,UX2-UX5_signal_20_100,UX2-UX5_signal_30_60,UX2-UX5_signal_30_80,UX2-UX5_signal_30_100,UX2-UX5_signal_40_60,UX2-UX5_signal_40_80,UX2-UX5_signal_40_100,UX5-UX8_signal_20_60,UX5-UX8_signal_20_80,UX5-UX8_signal_20_100,UX5-UX8_signal_30_60,UX5-UX8_signal_30_80,UX5-UX8_signal_30_100,UX5-UX8_signal_40_60,UX5-UX8_signal_40_80,UX5-UX8_signal_40_100,CSI BARC-BASPCAAA_signal_20_60,CSI BARC-BASPCAAA_signal_20_80,CSI BARC-BASPCAAA_signal_20_100,CSI BARC-BASPCAAA_signal_30_60,CSI BARC-BASPCAAA_signal_30_80,CSI BARC-BASPCAAA_signal_30_100,CSI BARC-BASPCAAA_signal_40_60,CSI BARC-BASPCAAA_signal_40_80,CSI BARC-BASPCAAA_signal_40_100,Equi_weighted
2006-01-09,-0.4522885912915111,-0.6065674140638547,-0.0365555678812238,0.012927881905207522,1.5302702177042649,1.5457240272108679,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1000.0
2006-01-10,-0.422459334551861,-0.6143941797664545,-0.04382452504598901,0.010241836090183214,1.528750375407708,1.5442793925075557,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,994.8017732801146
2006-01-11,-0.39629331986795713,-0.6228731759442714,-0.052824186297603104,0.006916255557296076,1.5282630977248428,1.5427251378267568,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1001.2347387109188
2006-01-12,-0.3643707819535945,-0.6303272385181765,-0.0628622700013264,0.003206954193691156,1.5307342916879467,1.5448509823901668,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1004.6866588923859
2006-01-13,-0.33454152521394404,-0.6388062346959933,-0.0746310577918985,-0.0011418818877765927,1.5430206504059145,1.5473526668763906,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,998.9524486077798
2006-01-16,-0.3086371706768792,-0.6472852308738101,-0.08639984558247069,-0.005490717969244342,1.5515944172544303,1.5479712367493534,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1001.2824075312086
2006-01-17,-0.27933123423090694,-0.657907270041625,-0.09470722519934509,-0.008560484614986177,1.5586599436559812,1.5517961909638143,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,994.7006223687683
2006-01-18,-0.2468853760228664,-0.6664794420016157,-0.10301460481621956,-0.011630251260728098,1.5615488042043983,1.553178185679991,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,987.0108277981307
2006-01-19,-0.2680798479168285,-0.6730017467537829,-0.094707225199345,-0.014700017906469933,1.560632258086627,1.5533191256510457,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,994.5948208408083
2006-01-20,-0.28691937848923943,-0.6817602702781209,-0.10612987217254731,-0.017769784552211766,1.5565948144285982,1.5529902657185843,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,992.3927538742543
2006-01-23,-0.27462135158780465,-0.6785922936842117,-0.1130526885199427,-0.020839551197953603,1.5498657416652164,1.553139035688031,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,988.7652729156226
2006-01-24,-0.26807984791682876,-0.6748652623972591,-0.11962936404996823,-0.02390931784369544,1.540804697133835,1.5512089410844192,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,989.4803052199684
2006-01-25,-0.2665098870357944,-0.6727222194072613,-0.123090772223666,-0.02697908448943736,1.5340524206712693,1.5479790667477455,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1001.4614562708333
2006-01-26,-0.2693881486510238,-0.6689020123381351,-0.12585989876262416,-0.030048851135179196,1.5269984961193106,1.5478459567750829,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1008.8164064452895
2006-01-27,-0.2795928943777463,-0.6632182896255323,-0.12689832121473352,-0.03311861778092103,1.5317088470536775,1.5499600563409057,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1020.7022198555751
