date,MRI CITI Index_ema_20,MRI CITI Index_ema_60,MRIST Index_ema_20,MRIST Index_ema_60,CESIG10 Index_ema_20,CESIG10 Index_ema_60,CESIUSD Index_ema_20,CESIUSD Index_ema_60,MRI CITI Index_signal_20_60,MRI CITI Index_signal_20_80,MRI CITI Index_signal_20_100,MRI CITI Index_signal_30_60,MRI CITI Index_signal_30_80,MRI CITI Index_signal_30_100,MRI CITI Index_signal_40_60,MRI CITI Index_signal_40_80,MRI CITI Index_signal_40_100,MRIST Index_signal_20_60,MRIST Index_signal_20_80,MRIST Index_signal_20_100,MRIST Index_signal_30_60,MRIST Index_signal_30_80,MRIST Index_signal_30_100,MRIST Index_signal_40_60,MRIST Index_signal_40_80,MRIST Index_signal_40_100,CESIG10 Index_signal_20_60,CESIG10 Index_signal_20_80,CESIG10 Index_signal_20_100,CESIG10 Index_signal_30_60,CESIG10 Index_signal_30_80,CESIG10 Index_signal_30_100,CESIG10 Index_signal_40_60,CESIG10 Index_signal_40_80,CESIG10 Index_signal_40_100,CESIUSD Index_signal_20_60,CESIUSD Index_signal_20_80,CESIUSD Index_signal_20_100,CESIUSD Index_signal_30_60,CESIUSD Index_signal_30_80,CESIUSD Index_signal_30_100,CESIUSD Index_signal_40_60,CESIUSD Index_signal_40_80,CESIUSD Index_signal_40_100,Equi_weighted
2003-06-23,-0.7578019040670089,-0.9922192942268719,0.3716628846724586,-0.8629996479950871,-0.760360186229628,-0.9482817219215077,-0.2328681237707573,-1.4544269723843335,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1000.0
2003-06-24,-0.771372794346743,-0.9985087372925072,0.3176820862358891,-0.807641994354394,-0.7140564975604287,-0.9462087761359018,-0.16100165135155778,-1.4018647604084145,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,989.9954992605927
2003-06-25,-0.7862785262933362,-1.0058988328946288,0.23340238803169747,-0.770266763233926,-0.6666842622296326,-0.9434232552364937,-0.08083336229083003,-1.3482541634248162,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,996.5858676782615
2003-06-26,-0.8034089943513613,-1.0179273927576562,0.12578905437427895,-0.7709719562739341,-0.6374773201459839,-0.944589287240897,-0.016277444824618043,-1.2986464910159932,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,996.4358430313551
2003-06-27,-0.8249889346322502,-1.0295628624290816,0.023747932168377055,-0.7672696928138881,-0.6072018314007384,-0.9408320730044862,0.04418951817636363,-1.2431773933369636,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1002.1646413339333
2003-06-30,-0.8445666124128504,-1.0368743399928826,-0.06296960854585293,-0.7445272172736029,-0.5731864293399036,-0.9344836765360681,0.09759374164649294,-1.186659910650255,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,995.1284853940289
2003-07-01,-0.8659240790825958,-1.043006546981877,-0.15560762392731967,-0.7101490565731721,-0.5343625673018828,-0.9236007111616368,0.1436874101636347,-1.1279503502202162,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,980.9425834244197
2003-07-02,-0.8855017568631958,-1.0474877751661422,-0.2343151106799951,-0.657612175092514,-0.5024842585642418,-0.910385681778399,0.17714249215188277,-1.0660956347671402,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,999.7985383312973
2003-07-03,-0.9050794346437959,-1.0516545311971257,-0.2917785412737626,-0.6211184352720568,-0.4663317631802133,-0.8961989590581584,0.2156777902939018,-1.004288573178049,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1005.7309415118199
2003-07-04,-0.9257694804801121,-1.0546420166533026,-0.34123191790597446,-0.5855061867516113,-0.4369467299862983,-0.8851216550163267,0.25086758023709604,-0.9439111275085211,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1006.0910006643949
2003-07-07,-0.9444572638161394,-1.0550351068449046,-0.40566061281413807,-0.5276803574708869,-0.4054246034691897,-0.8734613349722932,0.27924244607157317,-0.8869171061819578,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1030.1871021667844
