Date,"Price Earnings Ratio 
(P/E) 
(SX5E Index)","Dividend 12 Month Yld - Gross 
(SX5E Index)","Price to Book Ratio 
(SX5E Index)","Enterprise Value/EBITDA 
(SX5E Index)","Enterprise Value/EBIT 
(SX5E Index)","Trailing 12M Gross Margin 
(SX5E Index)","Trailing 12M Profit Margin 
(SX5E Index)","Return on Assets 
(SX5E Index)","Price to Sales Ratio 
(SX5E Index)","EV To Trailing 12M Sales 
(SX5E Index)","Price/EBITDA 
(SX5E Index)","Enterprise Value/EBITDA 
(SX5E Index)","Dividend Payout Ratio 
(SX5E Index)","Current Ratio 
(SX5E Index)"
1/2/02,47.07466734,2.378228546,2.425574075,12.04624312,28.27743913,,2.757129,0.538134,1.105397391,1.779818836,7.481596125,12.04624312,101.2285,0.999063377
1/3/02,48.08031344,2.330125304,2.477390225,12.2366046,28.65024732,,2.757129,0.538134,1.12901183,1.803283807,7.661174189,12.2366046,101.2285,0.999063297
1/4/02,47.95118453,2.337852906,2.470737589,12.2235158,28.62307792,,2.757129,0.538134,1.125979413,1.801573251,7.63967113,12.2235158,101.2285,0.999063429
1/7/02,47.12047536,2.378950677,2.427933241,12.07909789,28.30681261,,2.757129,0.538134,1.106472998,1.781667846,7.501508026,12.07909789,101.2285,0.9990636
1/8/02,46.7297143,2.398357698,2.407799532,11.98977349,28.16174271,,2.757129,0.538134,1.097297154,1.772536927,7.422324534,11.98977349,101.2285,0.999063531
1/9/02,46.7031044,2.399040554,2.406428035,11.97821086,28.15339708,,2.757129,0.538134,1.096672349,1.77201111,7.413143496,11.97821086,101.2285,0.999063227
1/10/02,45.98907058,2.439967706,2.369637493,11.84519467,27.88448615,,2.757129,0.538134,1.079905451,1.755085528,7.288357227,11.84519467,101.2285,0.999063578
1/11/02,46.37570106,2.404565743,2.389557636,11.90843775,28.00531873,,2.757129,0.538134,1.088984426,1.762691503,7.356989713,11.90843775,101.2285,0.999063703
1/14/02,45.0113886,2.477034201,2.319260114,11.68261937,27.48082323,,2.757129,0.538134,1.056947781,1.729678958,7.138849997,11.68261937,101.2285,0.999063486
1/15/02,45.62353036,2.443874959,2.350801471,11.78738046,27.72319438,,2.757129,0.538134,1.071321904,1.744933371,7.236997748,11.78738046,101.2285,0.99906332
1/16/02,44.85804922,2.485282671,2.311359499,11.65348495,27.42257906,,2.757129,0.538134,1.053347085,1.726012837,7.111861593,11.65348495,101.2285,0.999063323
1/17/02,45.75761877,2.435685025,2.357710919,11.77691566,27.81626965,,2.757129,0.538134,1.074470682,1.750792509,7.227555825,11.77691566,101.2285,0.999063512
1/18/02,45.63222653,2.426377818,2.351248835,11.76142553,27.75718037,,2.757128,0.538134,1.071525735,1.747072146,7.213594565,11.76142553,101.2285,0.999063902
1/21/02,45.16304408,2.451504038,2.327073484,11.67484174,27.58420917,,2.757128,0.538134,1.060508677,1.736185228,7.131307632,11.67484174,101.2285,0.999063808
1/22/02,45.3202346,2.442924567,2.335173674,11.67995753,27.67169558,,2.757128,0.538134,1.064199623,1.741691452,7.136629388,11.67995753,101.2285,0.999063423
1/23/02,45.75063091,2.420033929,2.357349966,11.75820088,27.82726576,,2.757128,0.538134,1.074306169,1.751482879,7.212121739,11.75820088,101.2285,0.999063571
1/24/02,46.52294837,2.380029864,2.397144727,11.90290557,28.10811253,,2.757128,0.538134,1.092441503,1.76916051,7.34994252,11.90290557,101.2285,0.999063833
1/25/02,46.41285661,2.385714209,2.391471776,11.89420278,28.06296493,,2.757128,0.538134,1.089856558,1.766319066,7.338976941,11.89420278,101.2285,0.999063592
1/28/02,46.8958234,2.361122505,2.416357718,11.96869465,28.23314189,,2.757128,0.538134,1.10119732,1.777030105,7.416809902,11.96869465,101.2285,0.999063417
1/29/02,46.19556257,2.396494647,2.380275621,11.84471243,27.94859034,,2.757128,0.538134,1.084753976,1.759119349,7.303994981,11.84471243,101.2285,0.999063249
1/30/02,45.54121372,2.432085008,2.346559104,11.76237326,27.68202019,,2.757128,0.538134,1.069388474,1.742340683,7.21933805,11.76237326,101.2285,0.999063343
1/31/02,46.03762651,2.408318757,2.372138205,11.86362755,27.87202241,,2.757128,0.538134,1.081045258,1.754300532,7.310673445,11.86362755,101.2285,0.999063504
2/1/02,46.19387154,2.400190078,2.380188802,11.90159981,27.93327733,,2.757128,0.538134,1.084714082,1.758155259,7.342828704,11.90159981,101.2285,0.999063159
2/4/02,45.38719691,2.442275291,2.338623279,11.78933619,27.5874693,,2.757128,0.538134,1.065772131,1.736389962,7.236131413,11.78933619,101.2285,0.999063587
2/5/02,44.34320338,2.499973414,2.28483063,11.63737768,27.1732348,,2.757128,0.538134,1.04125713,1.710317772,7.084942158,11.63737768,101.2285,0.999063298
2/6/02,43.70837889,2.536066656,2.252120866,11.54910683,26.9214254,,2.757128,0.538134,1.026350328,1.694468943,6.995365499,11.54910683,101.2285,0.999063597
2/7/02,44.12500813,2.511173802,2.273587812,11.5553701,27.09427348,,2.757128,0.538134,1.036133825,1.705347705,7.020802733,11.5553701,101.2285,0.999063425
2/8/02,43.96202991,2.520101726,2.265190837,11.50765014,27.02400692,,2.757128,0.538134,1.032306636,1.700924922,6.984096389,11.50765014,101.2285,0.999063214
2/11/02,44.56967476,2.485639002,2.296499219,11.61608603,27.26969944,,2.757128,0.538134,1.046575246,1.716389112,7.082955725,11.61608603,101.2285,0.999063544
2/12/02,44.41155786,2.494632359,2.288353151,11.60691963,27.21452296,,2.757128,0.538134,1.042862411,1.712916528,7.06655578,11.60691963,101.2285,0.999063531
