,Value,Quality,Carry,Profitability,Size,Monmentum
Dates,SGEPVBE Index,SGEPQBE Index,SGEPCBE Index,SGEPPBE Index,SGEPSBE Index,SGEPMBE Index
04/04/2002,1000,1000,1000,1000,1000,1000
05/04/2002,1006.2,1005.25,1005.78,1004.78,1007.78,1005.33
08/04/2002,998.02,999.55,998.88,995.13,998.13,995.37
09/04/2002,1000.27,1002.33,1001.53,1000.16,996.64,998.26
10/04/2002,1002.8,1007.96,1007.35,1002.99,998.92,1005.2
11/04/2002,996.69,998.66,999.94,989.06,992.7,996.76
12/04/2002,1001.26,1003.72,1006.67,990.54,990.37,1002.23
15/04/2002,1002.1,1006.21,1009.23,989.48,991.05,1004.23
16/04/2002,1008.98,1007.68,1014.84,998.37,994.53,1011.9
17/04/2002,1010.49,1006.07,1016.54,999.1,997.23,1013.96
18/04/2002,1008.58,1001.22,1013.3,990.03,994.24,1008.81
19/04/2002,1013.88,1003.92,1017.7,990.69,999.64,1011.57
22/04/2002,1011.22,1002.87,1020.7,985.38,996.71,1008.99
23/04/2002,1008.79,1003.43,1019.27,983.69,995.15,1008.34
24/04/2002,1006.71,1001.52,1020.85,979.31,990.91,1003.64
25/04/2002,998.21,992.29,1009.78,968.96,981.83,992.92
26/04/2002,1001.34,992.13,1011.19,966.88,984.14,993.33
29/04/2002,999.37,990.08,1009.93,962.75,980.74,991.37
30/04/2002,1004.03,995.68,1013.32,966.2,983.63,995.65
02/05/2002,1012.09,999.84,1019.74,966.8,992.05,996.38
03/05/2002,1007.35,996.2,1018.92,955.74,979.98,992.4
06/05/2002,1003.47,993.41,1014.7,953.79,973.16,990.13
07/05/2002,1000.05,986.63,1010.55,947.74,966.22,983.19
08/05/2002,1014.18,995.75,1019.63,966.19,981.11,1002.1
09/05/2002,1009.27,992.26,1014.18,960.48,982.22,999.88
10/05/2002,1002.25,988.17,1011.12,949.26,972.39,995.52
13/05/2002,1007.26,994.01,1017.81,953.82,969.94,997.54
14/05/2002,1015.87,999.89,1020.76,964.87,978.31,1003.04
15/05/2002,1015.7,999.34,1019.74,965.58,978.84,1003.54
16/05/2002,1009.99,996.23,1016.76,960.58,970.77,1002.19
17/05/2002,1004.57,990.62,1010.6,952.89,966.45,997.16
20/05/2002,1005.48,987.43,1008.12,950.7,966.11,992.76
21/05/2002,1005.11,987.02,1009.31,946.79,967.41,989.86
22/05/2002,993.29,978.65,995.8,934.63,953.18,978.21
23/05/2002,996.52,981.26,998.72,934.43,951.78,979.46
24/05/2002,998.55,981.05,1000.78,934.91,951.99,980.48
27/05/2002,998.26,982.4,999.74,937.12,954.56,981.09
28/05/2002,990.73,974.76,991.92,930.38,944.83,974.49
29/05/2002,985.11,972.01,988.06,921.79,934.13,968.57
30/05/2002,975.67,967.55,980.2,912.89,927.91,957.38
31/05/2002,981.72,972.56,985.26,920.75,934.8,963.79
03/06/2002,978.59,966.67,981.35,912.7,930.26,958.61
04/06/2002,967.46,953.91,971.88,899.74,919.54,946.49
05/06/2002,965.36,952.3,970.53,899.23,919.86,946.12
06/06/2002,964.51,952.53,969.03,897.31,917.77,944.3
07/06/2002,955.38,944.02,963.28,887.91,907.57,935.26
10/06/2002,957.53,946.98,962.61,890.72,907.59,936.88
11/06/2002,964.98,953.35,968.29,898.4,911.63,942.36
12/06/2002,954.22,940.26,958.1,884.46,900.46,930.01
13/06/2002,946.2,936.14,948.63,876.01,891.31,921.19
14/06/2002,920.63,913.38,924.67,852.43,864.1,895.35
17/06/2002,939.27,933.46,941.58,871.62,877.51,915.2
18/06/2002,936.28,930.59,937.83,869.48,873.79,913.72
19/06/2002,923.92,922.52,924.73,854.68,856.59,901.85
20/06/2002,906.49,906.96,908.57,834.33,839.16,881.41
21/06/2002,905.8,901.38,909.34,834.09,834.61,880.64
24/06/2002,891.17,884.84,894.9,811.82,820.35,863.29
25/06/2002,904.78,898.59,908.45,826.54,830.87,880.52
26/06/2002,885.58,885.07,887.84,811.82,810.46,865.1
27/06/2002,892.6,894.64,893.38,824.82,822.72,876.98
28/06/2002,905.43,913.59,907.41,842.63,828.57,893.12
01/07/2002,907.06,914.98,911.61,845.55,832.28,895.31
02/07/2002,889.91,902.87,897,826.99,815.49,878.08
03/07/2002,873.56,887.6,880.69,806.99,795.99,860.67
04/07/2002,878.68,893.29,886.52,815.13,801.76,867.67
05/07/2002,899.81,913.57,908.36,838.97,821.24,890.5
08/07/2002,897.26,911.84,907.99,835.83,820.62,888.25
09/07/2002,888.55,904.1,901.95,822.92,810.77,881.8
10/07/2002,874.79,887.5,887.87,808.3,798.48,867.59
11/07/2002,842.36,864.17,861.35,778.91,771.52,841.05
12/07/2002,840.91,863.86,861.44,781.6,775.09,839.24
15/07/2002,810.07,833.85,825.73,753.1,747,808.83
16/07/2002,802.9,821.46,821.17,745.97,736.44,803.08
17/07/2002,819.34,834.72,840.51,765.24,749.37,818.68
18/07/2002,831.85,845.85,853.49,776.7,763.22,835.84
19/07/2002,805.74,820,830.38,750.73,740.81,811.25
22/07/2002,779.66,795.51,802.46,729.82,723.94,786.21
23/07/2002,762.37,792.44,789.05,719.02,710.57,776.42
24/07/2002,742.51,776.06,768.76,701.09,688.49,756.09
25/07/2002,759.2,794.74,789.6,714.84,691.86,766.28
26/07/2002,757.23,797.64,790.57,715.17,689.57,766.78
29/07/2002,789.85,828.12,825.55,744.84,715.45,798.72
30/07/2002,791.44,829.26,822.2,748.05,719.42,803.7
31/07/2002,795.35,834.82,830.69,749.64,719.73,809.84
01/08/2002,777.8,813.58,808.92,730.53,704.7,790.21
02/08/2002,771.52,815.11,808.64,723.36,696.63,782.65
05/08/2002,747.25,798.93,786.71,701.54,672.64,753.77
06/08/2002,762.41,815.77,805.82,717.6,678.6,767.65
07/08/2002,762.72,810.04,803.82,714.99,679.25,768.65
08/08/2002,775.83,825.88,820.11,727.95,688.96,782.51
09/08/2002,780.04,832.18,826.47,735.09,690.39,786.21
12/08/2002,772.47,822.74,817.08,725.79,682.2,775.83
13/08/2002,777.27,829.64,822.62,730.01,683.42,777.9
14/08/2002,769.51,822.4,813.43,721.15,675.72,770.75
15/08/2002,783.64,839.35,827.42,736.12,688.1,783.97
16/08/2002,785.41,837.89,830.44,738.51,693.57,785.78
19/08/2002,799.79,850.92,848.12,754.42,706.73,801.45
20/08/2002,796.08,842.24,843,747.51,705.45,800.96
21/08/2002,804.8,846.66,850.77,759.09,713.85,812.79
22/08/2002,820.78,856.75,865.43,771.77,727.18,833.1
23/08/2002,815.43,850.92,856.19,764.37,725.76,828.97
26/08/2002,813.51,849.1,854.44,760.99,723.79,825.34
27/08/2002,820.4,856.26,866.1,765.59,728.16,833.86
28/08/2002,806.35,840.81,847.93,747.94,713.66,820.48
29/08/2002,790.54,834.03,834.21,738.96,703.86,808.68
30/08/2002,793.75,841.28,839.56,741.28,703.05,810.37
02/09/2002,786.23,834.49,830.65,733.08,698.29,805.05
03/09/2002,768.14,813.42,810.91,712.79,682.13,783.2
04/09/2002,766.97,816.04,811.71,713.19,677.18,780.95
05/09/2002,761.49,811.09,802.54,707.15,668.69,771.22
06/09/2002,774.59,827.85,819.48,720.97,676.88,786.75
09/09/2002,771.28,824.7,811.01,716.28,671.07,779.83
10/09/2002,782.75,837.86,827.45,729.81,678.12,796.42
11/09/2002,791.37,846.93,835.52,738.67,685.65,810.31
12/09/2002,778.04,833.22,819.28,723.51,677.15,791.72
13/09/2002,767.15,827.95,806.57,711.87,665.39,777.1
16/09/2002,764.44,825.43,803.93,708.9,660.95,773.64
17/09/2002,757.74,822.51,796.81,706.18,653.95,767.96
18/09/2002,734.95,806.8,772.67,688.36,637.37,745.33
19/09/2002,719.87,799.11,760.95,676.52,624.7,731.41
20/09/2002,719.47,801.06,760.81,677.17,624.13,732.72
23/09/2002,701.76,786.71,739.88,660.24,609.41,709.31
24/09/2002,684.01,772.63,726.98,645.93,594.11,689.28
25/09/2002,694.12,780.55,737.26,656.24,602.87,698.18
26/09/2002,710.71,800.8,753.91,677.35,614.42,717.7
27/09/2002,709.46,804.31,751.42,678.19,613.59,717.58
30/09/2002,684.7,785.24,722.94,653.98,590.65,694.12
01/10/2002,687.17,787.8,727.56,655.48,589.32,694.71
02/10/2002,692.91,798.14,733.8,660.31,590.41,699.66
03/10/2002,686.28,791.46,728.88,653.43,586.04,691.13
04/10/2002,678.31,785.78,720.93,648.64,578.33,684.81
07/10/2002,668.01,776.96,714.13,640.35,571.3,673.17
08/10/2002,662.57,772.67,708.45,636.41,572.26,668.24
09/10/2002,654.14,764.72,699.7,632.75,562.35,656.61
10/10/2002,657.74,768.42,705.51,636.49,560.54,666.42
11/10/2002,699.26,788.52,747.36,662.61,587.94,702.37
14/10/2002,693.07,785.39,743.15,659.53,585.61,694.97
15/10/2002,734.08,809.98,783.67,694.57,620.76,733.28
16/10/2002,732.5,803.96,781.87,689.85,624.1,731.92
17/10/2002,759.7,815.59,800.81,716.77,653.33,755.2
18/10/2002,761.4,811.69,799.21,719.42,658.53,755.29
21/10/2002,766.1,811.34,801.84,722.35,662.82,754.85
22/10/2002,759.29,811.89,797.86,723.1,661.39,743.6
23/10/2002,731.61,803.63,774.43,704.57,643.38,730.09
24/10/2002,741.67,810.92,786.35,718.13,651.49,743.13
25/10/2002,735.3,808.74,782.18,717.85,648.62,740.57
28/10/2002,752.68,810.45,793.75,728.92,660.97,750.39
29/10/2002,728.69,795.88,770.51,708.58,640.89,724
30/10/2002,746.88,804.64,783.45,722.07,657.8,735.71
31/10/2002,764.02,811.13,796.01,732.78,671.27,749.36
01/11/2002,762.38,806.42,790.73,732.11,673.84,742.57
04/11/2002,799.93,817.69,822.38,759.18,706.76,765.48
05/11/2002,803.57,815.01,828.38,754.88,702.73,763.83
06/11/2002,796.96,814.08,825.92,753.17,703.89,760.72
07/11/2002,778.67,808.86,811.94,736.38,687.78,752.09
08/11/2002,765.24,805.58,800.1,727.83,673.12,741.31
11/11/2002,757.46,802.57,793.57,719.2,661.34,734.05
12/11/2002,762.81,810.2,796.15,728.65,666.91,743.49
13/11/2002,753.54,806.94,786.52,723.75,661.03,736.36
14/11/2002,771.43,812.41,799.9,739.64,670.82,742.48
15/11/2002,773.8,811.62,805.67,741.81,677.21,747.13
18/11/2002,783.55,814.06,818.66,748.26,688,754.09
19/11/2002,778.57,811.09,811.87,743.82,684.63,749.44
20/11/2002,775.78,806.38,809.16,741.49,682.19,746.08
21/11/2002,804.33,817.03,836.76,763.21,708.92,765.76
22/11/2002,813.91,814.31,844.87,764.61,716.86,770.41
25/11/2002,811.88,809.3,843.32,764.14,718.82,765.25
26/11/2002,796.96,804.47,830.58,753.11,708.35,754.28
27/11/2002,817.18,812.94,848.33,767.91,723.06,767.31
28/11/2002,831.08,816.04,857.12,777.36,737.33,777.89
29/11/2002,838.09,811.48,860.81,779.64,740.97,780.26
02/12/2002,842.12,810.2,865.97,779,745.08,782.56
03/12/2002,816.69,804.05,847.12,759.69,723.62,767.85
04/12/2002,812.39,805.01,840.23,753.01,716.55,764.99
05/12/2002,804.17,803.36,837.08,746.8,709.39,758.96
06/12/2002,795.19,793.5,827.64,734.46,697.46,752.35
09/12/2002,777.66,786.92,810.58,721.16,684.81,739.46
10/12/2002,777.6,787.43,807.81,720.47,679.43,740.78
11/12/2002,785.8,793.56,816.61,724.49,686.06,745.61
12/12/2002,767.21,786.93,799.09,713.85,667.69,732.3
13/12/2002,756.88,782.26,788.89,703.81,657.01,724.46
16/12/2002,771.77,789.53,806.46,714.94,666.05,734.75
17/12/2002,759.48,781.98,793.62,704.73,656.56,726.52
18/12/2002,746.35,775.78,784.23,691.3,642.09,713.11
19/12/2002,742.51,776.66,778.54,686.49,638.91,712.23
20/12/2002,748.78,779.39,784.26,690.58,642.59,718.82
23/12/2002,745.35,778.49,783.13,687.01,636.32,715.6
24/12/2002,744.06,778.3,779.73,686.48,635.03,715.98
27/12/2002,728.72,764.94,764.32,671.34,624.07,701.46
30/12/2002,731.88,770.37,767.64,676.71,624.51,707.31
31/12/2002,736.94,773.6,772.5,679.29,628.05,710.28
